233 [row, row, row, row, row, row, row, row, row, row, row, row, row]
144 [row, row, row, row, row, row, row, row, row, row, row, row, row]
89 [row, row, row, row, row, row, row, row, row, row, row, row, row]
55 [row, row, row, row, row, row, row, row, row, row, row, row, row]
34 [row, row, row, row, row, row, row, row, row, row, row, row, row]
21 [row, row, row, row, row, row, row, row, row, row, row, row, row]
13 [row, row, row, row, row, row, row, row, row, row, row, row, row]
8 [row, row, row, row, row, row, row, row, row, row, row, row, row]
5 [row, row, row, row, row, row, row, row, row, row, row, row, row]
3 [row, row, row, row, row, row, row, row, row, row, row, row, row]
2 [row, row, row, row, row, row, row, row, row, row, row, row, row]
1 [row, row, row, row, row, row, row, row, row, row, row, row, row]
